Vardas    Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
Vardas90  Pavarde29 7 2 2 4 6 4
Vardas44  Pavarde39 8 9 6 5 4 8
Vardas73  Pavarde86 8 5 4 5 4 4
Vardas55  Pavarde74 8 8 1 8 10 6
Vardas45  Pavarde9 9 4 8 2 1 0 6
Vardas24  Pavarde37 7 5 4 8 6 2
Vardas41  Pavarde67 1 2 5 10 8 9
Vardas27  Pavarde36 3 5 8 7 7 9
Vardas67  Pavarde99 4 8 9 7 7 10
Vardas37  Pavarde59 8 8 7 10 10 10
